surah,verse,tokens,seconds_husary,seconds_minshawi,seconds_abdulbasitmurattal,seconds_abdurrahmaansudais,seconds_saoodshuraym
4,25,58,78.2,85.2,84.6,53.5,55.1
4,26,14,16.7,17.6,17.3,11.9,10.6
4,27,13,15.3,15.5,16.2,10.5,10.3
4,28,8,11,12.1,11.8,7.7,7.2
4,29,23,37,45,35.6,20.2,19.1
4,30,13,16.7,16,15.3,11.3,11.1
4,31,12,18.9,18.7,17.1,16.2,11.7
4,32,27,35,34,34.7,23.3,21.6
4,33,19,28.4,26.2,26.9,18.4,16.6
4,34,40,60.1,58.7,55.7,43.8,36
4,35,22,30.9,29.2,28.2,21.8,17.5
4,36,32,42.2,49.6,41.7,29.3,27.6
4,37,15,23.8,23.5,22.9,13.7,12.9
4,38,18,26.4,25.4,26.1,17.2,15.9
4,39,15,21.1,19.1,19.3,12.1,11.6
4,40,15,19.1,17.1,17.2,11.8,10.9
4,41,12,19.6,16.1,17.9,12,9.3
4,42,14,17.4,15.8,15.5,15.2,14.6
4,43,48,76.9,69.4,78.3,48.6,42.5
4,44,14,17.7,16.2,15.8,10.9,9.5
4,45,9,16.3,13.4,15,9.7,9.4
4,46,38,52.8,56.2,48.4,36.5,30.5
4,47,28,46.3,49.1,43.5,25.9,30.2
4,48,20,25.4,22.8,23.2,14.4,13.2
4,49,14,20,17.5,17.6,11.3,10.2
4,50,10,16.4,11.6,13.1,8.2,7.2
4,51,20,26,28.2,32,17.5,15.5
4,52,11,15.8,13.6,15.3,9.5,9.4
4,53,10,11.5,10,11.7,7.3,6.5
4,54,18,29.4,23.3,25,16.8,13.9
